_id,municipio,nombre,provincia,sensores[0],sensores[1],sensores[2],sensores[3],sensores[4],sensores[5],sensores[6],sensores[7],sensores[8],sensores[9],sensores[10],sensores[11],sensores[12],sensores[13],sensores[14],sensores[15],sensores[16],sensores[17],sensores[18],sensores[19],snapshot,tipo_estacion
C070,Vitoria-Gasteiz,Zaldiaran,Álava,R0EN,Y0DG,G411,,,,,,,,,,,,,,,,,,20221003,METEOROLOGICAL
C075,Zaldibar,Eitzaga,Bizkaia,G4AG,Y037,R0SG,R0AF,R0DI,R0EJ,R003,R0BM,G4AB,,,,,,,,,,,,20210505,METEOROLOGICAL
C079,Amorebieta-Etxano,Amorebieta,Bizkaia,NP79,NA79,ISAZ,NR79,NC79,NM79,R016,NO79,NI79,G4EC,RM79,NT79,,,,,,,,,20221003,QUALITY
C076,Vitoria-Gasteiz,Abetxuko,Álava,IS70,R0EQ,G4B1,,,,,,,,,,,,,,,,,,20221003,GAUGING
C073,Mallabia,Mallabia,Bizkaia,Y0CW,G470,R0FR,,,,,,,,,,,,,,,,,,20221013,METEOROLOGICAL
C074,Elorrio,Elorrio,Bizkaia,R0BK,NA74,NR74,G418,NC74,NT74,NM74,NO74,NP74,ISBT,,,,,,,,,,,20221003,QUALITY
C080,Oiartzun,Añarbe,Gipuzkoa,IS80,R0CY,G4AL,,,,,,,,,,,,,,,,,,20231219,QUALITY
C077,Andoain,Andoain,Gipuzkoa,NR77,NC77,NT77,R007,NO77,NP77,RM77,ISAC,G4C4,,,,,,,,,,,,20240624,QUALITY
C078,Elgoibar,Altzola,Gipuzkoa,NR78,OR78,NT78,NM78,NO78,NP78,SS78,R0SB,G444,NA78,NC78,ISBO,RM78,,,,,,,,20221003,QUALITY
C085,Eibar,Eibar,Gipuzkoa,IS99,RA85,,,,,,,,,,,,,,,,,,,20221003,GAUGING
C083,Irun,Jaizubia,Gipuzkoa,I083,UL83,,,,,,,,,,,,,,,,,,,20221003,GAUGING
C0A0,Zuia,Sarria,Álava,R0HQ,ISB9,G429,,,,,,,,,,,,,,,,,,20230620,GAUGING
C084,Irun,Behobia,Gipuzkoa,G4AD,R0RY,RA01,,,,,,,,,,,,,,,,,,20230214,GAUGING
C086,Zarautz,Inurritza,Gipuzkoa,R0GX,IS86,G476,,,,,,,,,,,,,,,,,,20230613,GAUGING
