_id,afluencia,año,fecha,mes,meterId,source,vehiculos,vel_circulacion,vel_media
1_2024-04-10,0,2024,2024-04-10,1,1,1,16000,0,89.91666666666667
1_2024-04-11,0,2024,2024-04-11,1,1,1,13432,0,91.8108108108108
1_2024-04-12,0,2024,2024-04-12,1,1,1,18740,0,92.875
1_2024-04-13,0,2024,2024-04-13,1,1,1,14886,0,97.29166666666667
1_2024-04-14,0,2024,2024-04-14,1,1,1,13794,0,98.77083333333333
1_2024-04-15,0,2024,2024-04-15,1,1,1,14999,0,93.60416666666667
1_2024-04-16,0,2024,2024-04-16,1,1,1,14748,0,94.4375
1_2024-04-17,0,2024,2024-04-17,1,1,1,15946,0,91.1875
1_2024-04-18,0,2024,2024-04-18,1,1,1,16168,0,89.47916666666667
1_2024-04-19,4,2024,2024-04-19,1,1,1,9109,0,87.6268656716418
1_2024-04-20,2,2024,2024-04-20,1,1,1,2429,0,86.8082191780822
1_2024-04-21,2,2024,2024-04-21,1,1,1,3793,0,90.91176470588235
1_2024-04-22,4,2024,2024-04-22,1,1,1,12420,0,94.37837837837837
1_2024-04-23,0,2024,2024-04-23,1,1,1,15528,0,95.85416666666667
1_2024-04-24,4,2024,2024-04-24,1,1,1,10022,0,89.61702127659575
1_2024-04-25,2,2024,2024-04-25,1,1,1,520,3,68.58333333333333
1_2024-04-26,2,2024,2024-04-26,1,1,1,2,0,95
1_2024-05-02,2,2024,2024-05-02,1,1,1,1458,0,91.5
1_2024-04-27,2,2024,2024-04-27,1,1,1,4,3,47
1_2024-04-28,2,2024,2024-04-28,1,1,1,22,2,107
1_2024-04-29,2,2024,2024-04-29,1,1,1,240,3,79
1_2024-04-30,2,2024,2024-04-30,1,1,1,26,3,66.75
1_2024-05-03,2,2024,2024-05-03,1,1,1,1853,0,88.38461538461539
1_2024-05-04,2,2024,2024-05-04,1,1,1,968,0,93.38297872340425
1_2024-05-05,2,2024,2024-05-05,1,1,1,4594,0,93.26086956521739
1_2024-05-06,4,2024,2024-05-06,1,1,1,7734,0,93.3225806451613
1_2024-05-07,2,2024,2024-05-07,1,1,1,8,0,90
1_2024-05-08,2,2024,2024-05-08,1,1,1,814,0,94.71428571428571
1_2024-05-09,2,2024,2024-05-09,1,1,1,3320,0,94.11111111111111
1_2024-05-11,2,2024,2024-05-11,1,1,1,1274,2,102.83333333333333
1_2024-05-12,0,2024,2024-05-12,1,1,1,13740,2,102.97916666666667
1_2024-05-13,0,2024,2024-05-13,1,1,1,14296,0,97.08333333333333
1_2024-05-14,0,2024,2024-05-14,1,1,1,15004,0,96.95833333333333
1_2024-05-15,0,2024,2024-05-15,1,1,1,16712,0,95.60416666666667
1_2024-05-16,0,2024,2024-05-16,1,1,1,17425,0,94.82291666666667
1_2024-05-17,0,2024,2024-05-17,1,1,1,19592,0,97.75
1_2024-05-18,4,2024,2024-05-18,1,1,1,10810,0,98.6
1_2024-05-19,2,2024,2024-05-19,1,1,1,2,2,114
1_2024-05-20,4,2024,2024-05-20,1,1,1,6222,0,100.14285714285714
1_2024-05-21,0,2024,2024-05-21,1,1,1,14452,0,97.20833333333333
1_2024-05-22,0,2024,2024-05-22,1,1,1,15890,0,95.95833333333333
1_2024-05-23,0,2024,2024-05-23,1,1,1,17294,0,95.20833333333333
1_2024-05-24,2,2024,2024-05-24,1,1,1,942,3,79.44827586206897
1_2024-05-25,2,2024,2024-05-25,1,1,1,1024,0,84.87878787878788
1_2024-05-26,2,2024,2024-05-26,1,1,1,224,0,93.70967741935483
1_2024-05-27,2,2024,2024-05-27,1,1,1,241,0,89.47142857142858
1_2024-05-28,2,2024,2024-05-28,1,1,1,128,3,79.125
1_2024-05-29,2,2024,2024-05-29,1,1,1,1086,3,77.8
1_2024-05-30,2,2024,2024-05-30,1,1,1,4906,0,85.6086956521739
1_2024-05-31,2,2024,2024-05-31,1,1,1,3652,3,77.35
5_2024-01-01,4,2024,2024-01-01,1,5,1,10054,2,116.375
5_2024-01-02,0,2024,2024-01-02,1,5,1,16866,2,115.20833333333333
5_2024-01-03,0,2024,2024-01-03,1,5,1,17853,2,116.04166666666667
5_2024-01-04,0,2024,2024-01-04,1,5,1,18590,2,115.3125
5_2024-01-05,0,2024,2024-01-05,1,5,1,16803,2,112.92553191489361
5_2024-01-06,4,2024,2024-01-06,1,5,1,9085,2,112.11224489795919
5_2024-01-07,4,2024,2024-01-07,1,5,1,9584,2,113.66666666666667
5_2024-01-08,3,2024,2024-01-08,1,5,1,20846,2,112.59375
5_2024-01-09,3,2024,2024-01-09,1,5,1,20671,2,113.82291666666667
5_2024-01-10,0,2024,2024-01-10,1,5,1,20292,2,113.97916666666667
5_2024-01-11,3,2024,2024-01-11,1,5,1,21185,2,112.92708333333333
5_2024-01-12,3,2024,2024-01-12,1,5,1,22278,2,115.32291666666667
5_2024-01-13,4,2024,2024-01-13,1,5,1,12543,2,116.92708333333333
5_2024-01-14,4,2024,2024-01-14,1,5,1,10640,2,116.95833333333333
5_2024-01-15,3,2024,2024-01-15,1,5,1,20500,2,112.08333333333333
5_2024-01-16,3,2024,2024-01-16,1,5,1,21278,2,113.83333333333333
5_2024-01-17,3,2024,2024-01-17,1,5,1,22343,2,115.95744680851064
5_2024-01-18,3,2024,2024-01-18,1,5,1,23346,2,114.34375
5_2024-01-19,3,2024,2024-01-19,1,5,1,22002,2,114
5_2024-01-20,0,2024,2024-01-20,1,5,1,13424,2,116.02083333333333
5_2024-01-21,4,2024,2024-01-21,1,5,1,11700,2,117.64583333333333
