_id,cause,cityTown,incidenceType,province,road,sourceId,startDate,clave_union,nivel_incidencias
232522,Avería,Soraluze-Placencia de las Armas,Seguridad vial,GIPUZKOA,AP-1,1,2024-02-09T18:32:01.000Z,2024-02-09_GIPUZKOA_Seguridad vial,0
232521,Avería,Labastida,Seguridad vial,ARABA,N-124,1,2024-02-09T18:50:09.000Z,2024-02-09_ARABA_Seguridad vial,0
232520,Desprendimiento,Artziniega,Seguridad vial,ARABA,A-624,1,2024-02-09T17:13:31.000Z,2024-02-09_ARABA_Seguridad vial,0
232519,Salida,Vitoria-Gasteiz,Accidente,ARABA,AP-1,1,2024-02-09T17:29:08.000Z,2024-02-09_ARABA_Accidente,0
232518,Otros,Artziniega,Otras incidencias,ARABA,A-2604,1,2024-02-09T16:36:41.000Z,2024-02-09_ARABA_Otras incidencias,1
232517,Avería,Orozko,Seguridad vial,BIZKAIA,AP-68,1,2024-02-09T16:39:44.000Z,2024-02-09_BIZKAIA_Seguridad vial,1
232516,Avería,Berriz,Seguridad vial,BIZKAIA,BI-633,1,2024-02-09T15:13:56.000Z,2024-02-09_BIZKAIA_Seguridad vial,1
232515,Avería,Berriz,Seguridad vial,BIZKAIA,BI-633,1,2024-02-09T15:14:13.000Z,2024-02-09_BIZKAIA_Seguridad vial,1
232514,Avería,Tolosa,Seguridad vial,GIPUZKOA,N-1,1,2024-02-09T15:27:33.000Z,2024-02-09_GIPUZKOA_Seguridad vial,0
232513,Otros,Labastida,Otras incidencias,ARABA,N-124,1,2024-02-09T15:45:11.000Z,2024-02-09_ARABA_Otras incidencias,1
232512,Avería,Bilbao,Seguridad vial,BIZKAIA,A-8,1,2024-02-09T15:47:55.000Z,2024-02-09_BIZKAIA_Seguridad vial,1
232763,Desconocida,road,Vialidad invernal tramos,ARABA,N-124,1,2024-02-10T23:36:46.000Z,2024-02-10_ARABA_Vialidad invernal tramos,2
232762,Desconocida,road,Vialidad invernal tramos,GIPUZKOA,AP-1 ,1,2024-02-10T23:36:46.000Z,2024-02-10_GIPUZKOA_Vialidad invernal tramos,1
232761,Desconocida,road,Vialidad invernal tramos,GIPUZKOA,AP-1 ,1,2024-02-10T23:36:46.000Z,2024-02-10_GIPUZKOA_Vialidad invernal tramos,1
232760,Desconocida,road,Vialidad invernal tramos,ARABA,AP-1,1,2024-02-10T23:36:46.000Z,2024-02-10_ARABA_Vialidad invernal tramos,2
232759,Desconocida,road,Vialidad invernal tramos,ARABA,AP-1,1,2024-02-10T23:36:46.000Z,2024-02-10_ARABA_Vialidad invernal tramos,2
232758,Desconocida,road,Vialidad invernal tramos,ARABA,AP-1,1,2024-02-10T23:36:46.000Z,2024-02-10_ARABA_Vialidad invernal tramos,2
232757,Desconocida,road,Vialidad invernal tramos,ARABA,N-622,1,2024-02-10T23:36:46.000Z,2024-02-10_ARABA_Vialidad invernal tramos,2
232756,Desconocida,road,Vialidad invernal tramos,GIPUZKOA,A-8,1,2024-02-10T23:36:46.000Z,2024-02-10_GIPUZKOA_Vialidad invernal tramos,1
232755,Desconocida,road,Vialidad invernal tramos,GIPUZKOA,A-8,1,2024-02-10T23:36:46.000Z,2024-02-10_GIPUZKOA_Vialidad invernal tramos,1
232754,Desconocida,road,Vialidad invernal tramos,BIZKAIA,A-8,1,2024-02-10T23:36:46.000Z,2024-02-10_BIZKAIA_Vialidad invernal tramos,0
232753,Desconocida,road,Vialidad invernal tramos,GIPUZKOA,A-15,1,2024-02-10T23:36:46.000Z,2024-02-10_GIPUZKOA_Vialidad invernal tramos,1
232752,Desconocida,road,Vialidad invernal tramos,GIPUZKOA,A-15,1,2024-02-10T23:36:46.000Z,2024-02-10_GIPUZKOA_Vialidad invernal tramos,1
232751,Desconocida,road,Vialidad invernal tramos,ARABA,A-124,1,2024-02-10T23:36:46.000Z,2024-02-10_ARABA_Vialidad invernal tramos,2
